지점,지점명,위도,경도,노장해발고도(m)
315,성삼재,35.3067,127.5108,1087.86
315,성삼재,35.3067,127.5108,1087.86
315,성삼재,35.3067,127.5108,1087.86
315,성삼재,35.3067,127.5108,1088.86
315,성삼재,35.3067,127.5108,1088.86
315,성삼재,35.3667,127.5333,1172
316,무등산,35.1144,126.9974,911.53
316,무등산,35.1144,126.9974,911.53
316,무등산,35.1144,126.9974,911.82
316,무등산,35.1144,126.9974,911.82
317,구이,35.7295,127.1142,105.92
317,구이,35.7295,127.1142,105.92
317,구이,35.7295,127.1142,101.3
317,구이,35.7189,127.0454,96.89
318,평창용산,37.6532,128.682,852
318,평창용산,37.6434,128.6705,769.81
318,평창용산,37.6434,128.6705,769.81
318,평창용산,37.6434,128.6704,770
318,평창용산,37.6437,128.6794,761.92
319,천부,37.5373,130.8708,58.05
319,천부,37.5408,130.8746,63
320,향로봉,38.331,128.3138,1263.88
320,향로봉,38.331,128.3138,1263.88
320,향로봉,38.331,128.3137,1262.62
320,향로봉,38.331,128.3137,1262.62
320,향로봉,38.331,128.3137,1262.62
320,향로봉,38.325,128.3208,1267
321,원통,38.1147,128.1963,253.72
321,원통,38.1147,128.1963,253.72
321,원통,38.1147,128.1963,253.72
322,상서,38.2316,127.6857,437
322,상서,38.2155,127.6698,263.76
322,상서,38.2155,127.6698,263.76
323,마현,38.2727,127.5255,276
323,마현,38.2747,127.553,291.41
323,마현,38.2747,127.553,291.41
323,마현,38.2728,127.5542,269
324,송계,36.9102,128.0745,155.91
324,송계,36.9102,128.0745,155.91
324,송계,36.9101,128.0745,141
324,송계,36.8831,128.0802,179.88
324,송계,36.8667,128.0667,180
325,백운,37.1445,128.0253,231.26
325,백운,37.1445,128.0253,231.26
325,백운,37.1445,128.0253,230
325,백운,37.1376,128.0254,233.72
326,용문산,37.5455,127.6113,191.01
326,용문산,37.5455,127.6113,191.01
326,용문산,37.5455,127.6112,190.2
326,용문산,37.5453,127.583,197.28
327,청주금천,36.6261,127.5128,97
327,청주금천,36.6503,127.512,127.11
328,상예,33.2505,126.3984,61
328,상예,33.2494,126.406,63.64
328,상예,33.2494,126.406,63.64
328,상예,33.2495,126.4061,60.88
329,산천단,33.4473,126.5655,377
329,산천단,33.4473,126.5655,377
329,산천단,33.4471,126.5652,378.48
329,산천단,33.4471,126.5652,378.48
329,산천단,33.4471,126.5652,374.66
329,산천단,33.4238,126.5439,513
330,대흘,33.5008,126.6495,144.41
330,대흘,33.5008,126.6495,144.41
330,대흘,33.2727,126.4501,221
330,대흘,33.2727,126.4501,226
330,대흘,33.2886,126.4616,407.21
331,제주색달,33.2955,126.4205,431
344,칠성,36.7876,127.8473,116.01
347,귀래,37.2276,127.8569,152
347,귀래,37.2276,127.8569,152
348,하조대,38.0257,128.7168,6.1
348,하조대,38.0258,128.7169,4
349,시동,37.6,127.8431,275
349,시동,37.6,127.8431,275
349,시동,37.6,127.8431,275
350,조침령,37.9953,128.4956,607
364,분당구,37.3828,127.119,56
364,분당구,37.3828,127.119,55.7
364,분당구,37.3828,127.1189,61
365,석수동,37.4093,126.8951,30.13
365,석수동,37.4093,126.8951,30
365,석수동,37.4089,126.8953,42
366,오전동,37.3936,127.007,104.29
366,오전동,37.355,126.9753,114
368,수택동,37.5992,127.1503,36.85
368,수택동,37.5992,127.1503,49
368,수택동,37.5992,127.1503,49
369,수리산길,37.364,126.9169,124.68
369,수리산길,37.3642,126.9169,124
371,기흥구갈,37.2805,127.1145,101.62
371,기흥구갈,37.2772,127.1164,121
376,광명노온,37.4474,126.859,68.57
377,안양만안,37.3952,126.8919,28
378,정림,36.3036,127.3628,71.19
379,번암,35.5405,127.5463,292
399,서청주,36.5667,127.3667,93
399,서청주,36.5667,127.3667,93
399,서청주,36.5667,127.3667,93
399,서청주,36.5667,127.3667,93
399,서청주,36.5667,127.3667,93
399,서청주,36.5667,127.3667,93
399,서청주,36.5667,127.3667,93
400,강남,37.4982,127.0816,12.66
400,강남,37.4982,127.0817,10.32
400,강남,37.4982,127.0816,28.7
400,강남,37.5134,127.0467,59.24
400,강남,37.5094,127.0485,59
401,서초,37.4846,127.026,33.05
401,서초,37.4846,127.026,33.05
401,서초,37.4889,127.0156,35.53
401,서초,37.48,127.02,36
402,강동,37.5556,127.145,55.29
402,강동,37.5555,127.145,54.5
402,강동,37.5555,127.145,56.21
402,강동,37.5519,127.1484,55
403,송파,37.5115,127.0967,58.26
403,송파,37.5115,127.0967,58.26
403,송파,37.5082,127.1004,53
404,강서,37.5739,126.8295,9.3
404,강서,37.5739,126.8295,80.4
404,강서,37.55,126.85,79
405,양천,37.5282,126.8794,22.75
405,양천,37.5282,126.8794,22.75
405,양천,37.5282,126.8794,22.75
405,양천,37.5296,126.8782,11.93
405,양천,37.524,126.8793,11
406,도봉,37.6656,127.0304,56.65
406,도봉,37.6661,127.0295,56.65
406,도봉,37.6633,127.0352,56
407,노원,37.6219,127.0919,25.3
407,노원,37.6219,127.0919,25.3
407,노원,37.6194,127.0894,53
408,동대문,37.5846,127.0604,53.96
408,동대문,37.5846,127.0604,53.96
408,동대문,37.5772,127.0501,35
409,중랑,37.5855,127.0868,39.09
409,중랑,37.5855,127.0868,39.09
409,중랑,37.5855,127.0868,39.09
409,중랑,37.5835,127.0889,40
410,기상청,37.4933,126.9175,41.76
410,기상청,37.4937,126.9181,36.44
410,기상청,37.4935,126.9228,33.5
410,기상청,37.4935,126.9228,48
411,마포,37.5517,126.9292,100.67
411,마포,37.5517,126.9292,100.67
411,마포,37.5517,126.9292,100.67
411,마포,37.5431,126.9342,24
412,서대문,37.5705,126.9408,103.08
412,서대문,37.5705,126.9408,103.08
412,서대문,37.5676,126.9466,101
413,광진,37.5334,127.086,29.91
413,광진,37.5338,127.0857,28.63
413,광진,37.5338,127.0857,28.63
413,광진,37.5416,127.0805,52.54
413,광진,37.5379,127.0791,52
414,성북,37.6113,126.9998,128.62
414,성북,37.6117,126.9994,128.62
414,성북,37.6117,126.9994,128.62
414,성북,37.6105,126.9993,127
415,용산,37.5196,126.9763,31.73
415,용산,37.5204,126.9761,31.73
415,용산,37.5204,126.9761,31.73
415,용산,37.5168,126.9775,29
416,은평,37.6465,126.9427,55
416,은평,37.6465,126.9426,57
416,은평,37.6464,126.9434,57.92
416,은평,37.6465,126.9433,65.4
416,은평,37.6444,126.9453,70
416,은평,37.6106,126.9339,67.58
416,은평,37.6084,126.9357,67
417,금천,37.4655,126.9002,45
417,금천,37.4655,126.9002,45
417,금천,37.4655,126.9002,45
417,금천,37.4575,126.9162,43
417,금천,37.48,126.88,22
418,한강,37.5249,126.939,10.66
418,한강,37.5213,126.9394,11
419,중구,37.5524,126.9874,267.05
419,중구,37.5524,126.9874,267.05
419,중구,37.5535,126.9864,267
420,북한산,37.616,126.957,455
420,북한산,37.6155,126.9565,455
421,성동,37.5472,127.0389,34.73
421,성동,37.5472,127.0389,34.73
421,성동,37.5472,127.0389,34.73
421,성동,37.545,127.0406,25
422,북악산,37.6034,126.9844,333.8
423,구로,37.4933,126.8263,56.08
423,구로,37.494,126.827,56.08
423,구로,37.4833,126.8333,62
424,강북*,37.638,127.0098,69.8
424,강북*,37.638,127.0098,69.8
424,강북*,37.638,127.0098,69.8
424,강북*,37.6397,127.0258,57.29
424,강북*,37.6333,127.0017,56
425,남현,37.4635,126.9815,113
425,남현,37.4635,126.9815,113
425,남현,37.4634,126.9855,87.86
426,백령(레),37.9661,124.6305,147.29
426,백령(레),37.9661,124.6305,147.29
426,백령(레),37.9661,124.6305,146
427,김포장기,37.6428,126.6734,10.54
427,김포장기,37.6428,126.6735,16
428,하남덕풍,37.5512,127.2128,23.73
428,하남덕풍,37.5512,127.2128,29
430,경기,37.2746,127.0097,90.33
430,경기,37.2718,127.0118,103
431,신곡,37.7487,127.0718,52.95
431,신곡,37.746,127.0739,67
432,향남,37.1309,126.9206,43.84
432,향남,37.2551,127.0379,58
433,부천,37.5006,126.7636,15.67
433,부천,37.4976,126.7666,29
434,안양,37.3944,126.9569,77.92
436,처인역삼,37.2344,127.1884,110.83
436,처인역삼,37.2314,127.1893,123
437,광명,37.4787,126.8653,52.69
437,광명,37.4758,126.8665,68
437,광명,37.4758,126.8665,68
438,군포,37.3615,126.9353,84.71
438,군포,37.3587,126.9375,97
439,진안,37.2088,127.0357,43.15
440,설봉,37.2784,127.4406,87.3
441,김포,37.6076,126.7624,28
441,김포,37.6468,126.7047,32
443,보개,37.0331,127.3063,66.04
443,보개,37.0197,127.2919,90
444,하남,37.5379,127.2137,27.68
444,하남,37.5359,127.2156,37
445,의왕,37.3445,126.9688,80.4
445,의왕,37.3417,126.9709,94
446,남촌,37.1403,127.0637,17.48
446,남촌,37.1374,127.0658,32
447,북내,37.1947,127.4036,89.04
447,북내,37.329,127.6791,62.36
448,산북,37.2408,127.275,217.47
